 ,Label,Area,Mean,X,Y,Feret,%Area,Slice,FeretX,FeretY,FeretAngle,MinFeret
195,Stack:1,0.320,255,6.235,21.685,1.695,100,1,5.660,21.170,137.603,0.320
196,Stack:1,0.216,255,20.250,21.609,1.001,100,1,20.082,21.170,112.380,0.390
197,Stack:1,0.406,255,12.119,22.126,2.355,100,1,11.374,23.020,49.686,0.410
198,Stack:1,0.118,255,1.118,21.624,0.487,100,1,1.034,21.388,116.565,0.365
199,Stack:1,0.127,255,9.122,21.704,0.740,100,1,8.816,21.388,143.973,0.393
200,Stack:1,0.190,255,22.290,22.280,0.930,100,1,22.095,22.639,69.444,0.592
201,Stack:1,1.075,255,6.192,23.448,4.126,100,1,4.680,21.823,131.257,0.601
202,Stack:1,0.258,255,24.951,22.532,0.964,100,1,24.816,22.966,73.610,0.490
203,Stack:1,0.113,255,10.375,22.377,0.732,100,1,10.177,22.639,48.013,0.308
204,Stack:1,0.580,255,2.623,22.924,2.043,100,1,1.633,22.259,138.240,0.873
205,Stack:1,0.290,255,15.796,22.621,0.901,100,1,15.619,23.020,64.983,0.457
206,Stack:1,0.527,255,9.025,23.054,2.091,100,1,8.218,22.259,141.340,0.452
207,Stack:1,0.216,255,23.739,22.682,0.710,100,1,23.619,22.313,122.471,0.544
208,Stack:1,1.122,255,12.208,23.492,4.258,100,1,10.395,24.816,35.112,0.571
209,Stack:1,0.172,255,21.179,22.675,0.688,100,1,21.116,22.367,108.435,0.419
210,Stack:1,0.278,255,1.342,22.917,1.045,100,1,0.980,22.585,128.660,0.457
211,Stack:1,0.622,255,8.279,23.461,2.320,100,1,7.401,22.531,129.289,0.529
212,Stack:1,0.101,255,26.098,22.881,0.513,100,1,25.959,22.639,122.005,0.317
213,Stack:1,0.447,255,20.506,23.641,1.829,100,1,19.918,22.857,126.529,0.463
214,Stack:1,0.954,255,22.246,23.665,2.532,100,1,21.170,24.272,28.217,0.673
215,Stack:1,0.157,255,26.950,23.124,1.003,100,1,26.449,23.184,12.529,0.326
216,Stack:1,1.007,255,17.298,24.228,3.733,100,1,16.054,23.075,134.409,0.518
217,Stack:1,1.205,255,2.553,25.307,4.003,100,1,0.980,23.293,133.898,1.845
218,Stack:1,0.187,255,25.366,23.860,0.804,100,1,25.034,24.109,28.301,0.402
219,Stack:1,0.243,255,3.833,24.178,1.199,100,1,3.592,23.782,129.472,0.457
220,Stack:1,0.139,255,27.574,24.265,1.122,100,1,27.156,23.837,129.094,0.263
221,Stack:1,0.225,255,24.067,24.349,0.809,100,1,23.728,24.653,47.726,0.500
222,Stack:1,0.424,255,26.401,24.544,1.102,100,1,26.286,25.034,57.095,0.700
223,Stack:1,0.435,255,11.553,25.162,1.803,100,1,11.048,25.741,61.113,0.657
224,Stack:1,0.130,255,13.409,24.477,0.809,100,1,13.116,24.707,42.274,0.231
225,Stack:1,0.347,255,20.868,24.861,1.449,100,1,20.354,24.163,124.287,0.577
226,Stack:1,0.308,255,15.468,24.636,1.095,100,1,14.857,24.544,153.435,0.494
227,Stack:1,0.113,255,2.873,24.672,0.893,100,1,2.667,24.327,127.569,0.281
228,Stack:1,0.121,255,0.700,24.902,0.664,100,1,0.435,24.707,145.008,0.299
229,Stack:1,1.727,255,24.690,26.912,6.364,100,1,22.966,24.707,131.186,0.642
230,Stack:1,0.646,255,25.683,25.773,2.350,100,1,24.816,24.925,137.816,0.455
231,Stack:1,0.151,255,27.086,25.405,1.012,100,1,26.884,25.741,53.746,0.308
