 ,Label,X,Y,Width,Height,Area,NearestNeighborDistance,Perimeter,Circularity,Roundness,AR,Solidity,Feret,FeretAR,Compactness,Extent,IntegratedDensity,RawIntegratedDensity,FeretAngle,MinFeret,FeretX,FeretY,XM,YM,BX,BY,Major,Minor,Angle,XStart,YStart
224,Along the build_20.tif,50.539,14.492,0.980,1.088,0.347,1.291,3.084,0.458,0.244,4.100,0.760,1.361,2.946,0.494,0.325,88.363,29835.000,126.870,0.462,50.014,13.932,50.539,14.492,50.014,13.932,1.345,0.328,130.575,919.000,256.000
225,Along the build_20.tif,2.493,14.314,0.707,0.599,0.237,0.618,2.007,0.740,0.465,2.153,0.829,0.816,1.842,0.682,0.559,60.419,20400.000,36.870,0.443,2.122,14.531,2.493,14.314,2.122,13.986,0.806,0.374,37.038,47.000,257.000
226,Along the build_20.tif,34.065,14.632,1.197,1.034,0.424,1.125,3.474,0.441,0.327,3.063,0.711,1.387,2.313,0.571,0.342,107.999,36465.000,48.180,0.600,33.469,15.075,34.065,14.632,33.415,14.041,1.285,0.420,32.859,631.000,258.000
227,Along the build_20.tif,31.415,15.023,1.469,1.578,0.486,1.313,4.719,0.274,0.173,5.772,0.655,2.049,3.985,0.416,0.209,123.860,41820.000,129.611,0.514,30.585,14.150,31.415,15.023,30.531,14.150,1.889,0.327,132.919,562.000,260.000
228,Along the build_20.tif,42.983,14.571,0.816,0.653,0.252,1.229,2.283,0.607,0.420,2.380,0.802,0.901,2.077,0.648,0.472,64.195,21675.000,25.017,0.434,42.558,14.803,42.983,14.571,42.558,14.204,0.873,0.367,30.948,793.000,261.000
229,Along the build_20.tif,6.292,15.239,2.014,2.014,0.560,0.688,6.072,0.191,0.113,8.815,0.558,2.698,6.196,0.337,0.138,142.741,48195.000,131.730,0.435,5.279,14.259,6.292,15.239,5.224,14.259,2.506,0.284,135.363,97.000,262.000
230,Along the build_20.tif,38.098,14.890,1.741,1.415,0.536,1.149,4.860,0.285,0.181,5.536,0.690,2.134,4.182,0.425,0.218,136.699,46155.000,37.747,0.510,37.061,15.619,38.098,14.890,37.061,14.259,1.944,0.351,33.083,710.000,262.000
231,Along the build_20.tif,35.728,14.638,0.544,0.599,0.190,0.716,2.346,0.433,0.603,1.657,0.731,0.809,1.702,0.777,0.582,48.335,16320.000,132.274,0.475,35.429,14.313,35.728,14.638,35.429,14.313,0.632,0.382,119.611,651.000,263.000
232,Along the build_20.tif,11.139,14.872,1.578,0.816,0.637,1.507,3.833,0.545,0.349,2.868,0.790,1.637,2.518,0.590,0.494,162.377,54825.000,15.422,0.650,10.340,15.075,11.139,14.872,10.340,14.476,1.525,0.532,22.308,211.000,266.000
233,Along the build_20.tif,29.803,14.844,0.980,0.816,0.210,1.456,2.731,0.354,0.168,5.955,0.706,1.275,4.063,0.410,0.263,53.622,18105.000,39.806,0.314,29.279,15.293,29.803,14.844,29.279,14.476,1.263,0.212,38.185,552.000,266.000
234,Along the build_20.tif,36.350,14.993,0.816,0.762,0.278,0.716,2.641,0.502,0.645,1.550,0.726,0.893,1.515,0.803,0.448,70.993,23970.000,52.431,0.589,36.027,15.238,36.350,14.993,35.973,14.531,0.741,0.478,43.270,671.000,267.000
235,Along the build_20.tif,3.214,15.142,1.959,1.197,0.521,1.098,7.142,0.128,0.280,3.569,0.372,2.167,2.462,0.529,0.222,132.922,44880.000,25.278,0.880,2.449,15.565,3.214,15.142,2.449,14.585,1.539,0.431,26.505,68.000,268.000
236,Along the build_20.tif,20.952,15.106,0.871,0.816,0.326,1.142,2.545,0.632,0.404,2.476,0.837,1.080,2.342,0.636,0.458,83.076,28050.000,130.914,0.461,20.626,14.639,20.952,15.106,20.571,14.639,1.013,0.409,137.311,379.000,269.000
237,Along the build_20.tif,18.880,15.285,1.143,1.252,0.370,1.212,3.578,0.363,0.178,5.621,0.751,1.695,4.004,0.422,0.259,94.405,31875.000,132.397,0.423,18.340,14.748,18.880,15.285,18.340,14.748,1.628,0.290,131.624,337.000,271.000
238,Along the build_20.tif,41.889,15.132,0.816,0.599,0.314,0.989,2.346,0.717,0.760,1.315,0.838,0.879,1.469,0.872,0.642,80.056,27030.000,158.199,0.599,41.524,15.075,41.889,15.132,41.524,14.803,0.725,0.551,160.774,767.000,272.000
239,Along the build_20.tif,51.668,15.452,1.361,1.143,0.468,1.482,4.090,0.352,0.328,3.050,0.669,1.742,2.663,0.573,0.301,119.328,40290.000,38.660,0.654,50.884,16.000,51.668,15.452,50.884,14.912,1.348,0.442,36.554,958.000,274.000
240,Along the build_20.tif,49.524,15.468,1.197,1.088,0.320,0.836,3.700,0.294,0.251,3.986,0.653,1.547,3.092,0.501,0.245,81.566,27540.000,140.711,0.500,48.925,15.129,49.524,15.468,48.925,15.020,1.274,0.320,133.717,904.000,276.000
241,Along the build_20.tif,44.420,16.072,1.469,1.905,0.492,1.427,5.898,0.178,0.165,6.078,0.410,2.279,3.358,0.406,0.176,125.370,42330.000,123.311,0.679,43.810,15.075,44.420,16.072,43.646,15.075,1.951,0.321,125.708,805.000,277.000
242,Along the build_20.tif,33.102,15.877,0.707,1.361,0.323,0.984,3.820,0.278,0.264,3.794,0.630,1.486,3.277,0.513,0.335,82.321,27795.000,113.749,0.454,32.925,15.184,33.102,15.877,32.816,15.184,1.249,0.329,113.084,605.000,279.000
